Availability,Residence Type,Price(in Crores),Area(sq.ft),Price per sq.ft (â‚¹),Construction Status,Locality,City
3 BHK,Apartment,0.387,850,4554,Ready to move,Uttam Nagar,Delhi
2 BHK,Apartment,0.277,650,4269,Ready to move,Uttam Nagar,Delhi
2 BHK,Apartment,0.28,680,4117,Ready to move,Uttam Nagar,Delhi
2 BHK,Apartment,0.275,625,4400,Ready to move,Uttam Nagar,Delhi
3 BHK,Apartment,0.436,875,4984,Ready to move,Uttam Nagar,Delhi
1 BHK,Apartment,0.172,550,3129,Ready to move,Uttam Nagar,Delhi
3 BHK,Apartment,0.456,850,5365,Ready to move,Uttam Nagar,Delhi
3 BHK,Apartment,0.411,800,5137,Ready to move,Uttam Nagar,Delhi
2 BHK,Apartment,0.26,540,4814,Ready to move,Uttam Nagar,Delhi
1 BHK,Apartment,0.16,400,4000,Ready to move,Uttam Nagar,Delhi
2 BHK,Apartment,0.27,600,4500,Ready to move,Uttam Nagar,Delhi
2 BHK,Apartment,0.278,650,4276,Ready to move,Uttam Nagar,Delhi
2 BHK,Apartment,0.267,650,4115,Ready to move,Uttam Nagar,Delhi
1 BHK,Apartment,0.182,600,3035,Ready to move,Uttam Nagar,Delhi
2 BHK,Apartment,0.265,600,4418,Ready to move,Uttam Nagar,Delhi
2 BHK,Apartment,0.3,700,4285,Ready to move,Uttam Nagar,Delhi
6 BHK,Independent House,25.0,3627,68927,Ready to move,Neeti Bagh,Delhi
1 BHK,Apartment,0.18,580,3103,Ready to move,Uttam Nagar,Delhi
6 BHK,Independent House,19.0,2700,70370,Ready to move,Panchsheel Park,Delhi
3 BHK,Apartment,0.512,950,5394,Ready to move,Uttam Nagar,Delhi
3 BHK,Apartment,0.595,1050,5667,Ready to move,Uttam Nagar,Delhi
3 BHK,Apartment,0.721,1375,5244,Ready to move,Uttam Nagar,Delhi
3 BHK,Floor,0.476,850,5601,Ready to move,Uttam Nagar,Delhi
3 BHK,Apartment,0.485,995,4875,Ready to move,Uttam Nagar,Delhi
3 BHK,Apartment,0.512,900,5688,Ready to move,Uttam Nagar,Delhi
3 BHK,Floor,0.442,810,5458,Ready to move,Uttam Nagar,Delhi
3 BHK,Apartment,0.385,850,4530,Ready to move,Uttam Nagar,Delhi
4 BHK,Floor,1.66,1400,11857,Ready to move,Rohini sector 24,Delhi
4 BHK,Floor,4.4,3800,11578,Ready to move,Sector 23 Rohini,Delhi
3 BHK,Floor,3.85,2150,17906,Ready to move,Chittaranjan Park,Delhi
3 BHK,Floor,2.0,1125,17777,Ready to move,Chittaranjan Park,Delhi
3 BHK,Floor,3.65,2050,17804,Ready to move,Chittaranjan Park,Delhi
3 BHK,Floor,2.65,1450,18275,Ready to move,Chittaranjan Park,Delhi
3 BHK,Floor,4.0,2200,18181,Ready to move,Chittaranjan Park,Delhi
3 BHK,Floor,3.0,1600,18750,Ready to move,Chittaranjan Park,Delhi
Residential Plot,Residential,1.59,2700,5888,New,Carambolim,Goa
5 BHK,Villa,7.601,4894,15532,Under Construction,Parra,Goa
3 BHK,Apartment,1.15,1549,7424,Ready to move,Salcete,Goa
4 BHK,Independent House,2.65,3100,8548,Ready to move,Povorim,Goa
2 BHK,Apartment,1.5,1122,13368,Ready to move,Dona Paula,Goa
1 BHK,Floor,0.6,1088,5514,Ready to move,Alto Porvorim,Goa
4 BHK,Apartment,1.15,2304,4991,Ready to move,Socorro,Goa
4 BHK,Villa,7.25,3700,19594,Under Construction,Assagao,Goa
2 BHK,Apartment,1.5,1582,9481,Ready to move,Dona Paula,Goa
3 BHK,Villa,3.5,2525,13861,Ready to move,Siolim,Goa
2 BHK,Apartment,0.85,965,8808,Ready to move,Dabolim,Goa
2 BHK,Villa,1.2,1291,9295,Ready to move,Kadamba,Goa
2 BHK,Apartment,0.508,944,5385,Under Construction,Dabolim,Goa
3 BHK,Apartment,0.6,1750,3428,Ready to move,Sancoale,Goa
Residential Plot,Residential,2.5,2500,10000,New,Sancoale,Goa
2 BHK,Villa,3.185,1700,18737,Ready to move,Siolim,Goa
1 BHK,Apartment,0.52,721,7212,Ready to move,Mapusa,Goa
2 BHK,Apartment,1.65,1400,11785,Ready to move,Socorro,Goa
2 BHK,Apartment,0.7,1300,5384,Ready to move,Kadamba,Goa
1 BHK,Apartment,0.3,700,4285,Ready to move,Salcete,Goa
4 BHK,Independent House,1.8,4413,4078,Ready to move,Mapusa,Goa
2 BHK,Apartment,1.48,1080,13703,Ready to move,Candolim,Goa
3 BHK,Apartment,2.5,2011,12431,Ready to move,Taleigao,Goa
4 BHK,Villa,11.95,5200,22980,Under Construction,Anjuna,Goa
3 BHK,Villa,1.3,2260,5752,Ready to move,Sancoale,Goa
5 BHK,Villa,7.0,4304,16263,Under Construction,Anjuna,Goa
1 BHK,Apartment,0.35,677,5169,Ready to move,Dabolim,Goa
2 BHK,Apartment,1.5,1022,14677,Ready to move,Assagao,Goa
2 BHK,Apartment,1.4,1098,12750,Under Construction,Calangute,Goa
5 BHK,Apartment,3.0,4304,6970,Ready to move,Povorim,Goa
4 BHK,Villa,6.2,3950,15696,Ready to move,Siolim,Goa
4 BHK,Villa,3.9,2200,17727,Ready to move,Arpora,Goa
3 BHK,Villa,6.0,3150,19047,Under Construction,Anjuna,Goa
1 BHK,Apartment,0.35,688,5087,Ready to move,Salcete,Goa
4 BHK,Villa,0.95,1831,5188,Under Construction,Marcel,Goa
2 BHK,Apartment,1.55,1280,12109,Ready to move,Caranzalem,Goa
4 BHK,Villa,6.651,4732,14056,Under Construction,Parra,Goa
3 BHK,Apartment,1.23,2152,5715,Ready to move,Alto Porvorim,Goa
3 BHK,Apartment,0.6,1750,3428,Ready to move,Sancoale,Goa
3 BHK,Independent House,1.8,2000,9000,Ready to move,St Estevam,Goa
4 BHK,Independent House,4.0,5532,7230,Ready to move,Sateri Nagar Colony,Goa
5 BHK,Villa,8.0,4100,19512,Under Construction,Anjuna,Goa
3 BHK,Villa,4.0,2447,16346,Under Construction,Dona Paula,Goa
3 BHK,Villa,1.54,2552,6034,Under Construction,Corlim,Goa
1 BHK,Apartment,0.4,823,4860,Ready to move,Dabolim,Goa
2 BHK,Apartment,0.75,1054,7115,Ready to move,Kadamba,Goa
3 BHK,Apartment,2.43,1502,16178,Under Construction,Taleigao,Goa
3 BHK,Apartment,2.0,1786,11198,Ready to move,Dona Paula,Goa
4 BHK,Villa,9.0,4552,19771,Ready to move,Sateri Nagar Colony,Goa
4 BHK,Floor,2.8,3600,7777,Ready to move,Povorim,Goa
1 BHK,Apartment,0.58,839,6912,Ready to move,Calangute,Goa
2 BHK,Apartment,0.85,1100,7727,Ready to move,Dabolim,Goa
2 BHK,Apartment,1.45,1320,10984,Ready to move,Socorro,Goa
2 BHK,Villa,1.4,1399,10007,Ready to move,Kadamba,Goa
4 BHK,Villa,0.95,1831,5188,Under Construction,Marcel,Goa
3 BHK,Apartment,0.75,1450,5172,Ready to move,Margao,Goa
10 BH,Independent House,12.0,10763,11149,Ready to move,Assagao,Goa
3 BHK,Villa,6.0,3888,15432,Ready to move,Calangute,Goa
4 BHK,Villa,6.651,4732,14056,Under Construction,Parra,Goa
3 BHK,Apartment,0.6,1750,3428,Ready to move,Sancoale,Goa
2 BHK,Apartment,0.7,915,7650,Ready to move,Nuvem,Goa
2 BHK,Apartment,0.55,973,5652,Ready to move,Mapusa,Goa
3 BHK,Independent House,0.676,1002,6743,Ready to move,Chimbel,Goa
3 BHK,Villa,3.25,2464,13189,Under Construction,Pilerne,Goa
4 BHK,Floor,3.75,4950,7575,Ready to move,Povorim,Goa
5 BHK,Villa,7.5,7500,10000,Ready to move,Naicavaddo,Goa
5 BHK,Villa,3.75,3100,12096,Ready to move,Penha de Franca,Goa
2 BHK,Apartment,0.66,968,6818,Under Construction,Santa Cruz,Goa
3 BHK,Apartment,2.5,1614,15489,Ready to move,Dona Paula,Goa
3 BHK,Apartment,3.38,2500,13520,Under Construction,Dona Paula,Goa
2 BHK,Apartment,1.4,1093,12808,Ready to move,Candolim,Goa
3 BHK,Penthouse,1.011,2421,4177,Ready to move,Mapusa,Goa
4 BHK,Villa,5.5,3708,14832,Under Construction,Siolim,Goa
2 BHK,Apartment,1.65,1380,11956,Ready to move,Povorim,Goa
2 BHK,Apartment,0.597,1109,5386,Under Construction,Dabolim,Goa
2 BHK,Apartment,0.5,1208,4139,Ready to move,Tivim,Goa
2 BHK,Apartment,0.66,1120,5892,Ready to move,Margao,Goa
3 BHK,Apartment,1.331,933,14266,Under Construction,Taleigao,Goa
3 BHK,Independent House,0.666,989,6738,Ready to move,Chimbel,Goa
3 BHK,Apartment,0.75,1350,5555,Ready to move,Salcete,Goa
3 BHK,Villa,4.72,3467,13614,Under Construction,Parra,Goa
3 BHK,Villa,4.72,3467,13614,Under Construction,Parra,Goa
2 BHK,Independent House,0.567,841,6745,Ready to move,Chimbel,Goa
3 BHK,Villa,1.5,2300,6521,Ready to move,Salcete,Goa
3 BHK,Villa,1.2,2100,5714,Ready to move,Salcete,Goa
Residential Plot,Residential,0.66,5000,1320,Resale,Salcete,Goa
Residential Plot,Residential,0.7,5000,1400,Resale,Salcete,Goa
4 BHK,Villa,1.8,2260,7964,Ready to move,Mapusa,Goa
3 BHK,Villa,3.3,1960,16836,Ready to move,Anjuna,Goa
4 BHK,Independent House,4.5,3498,12864,Ready to move,Naicavaddo,Goa
4 BHK,Independent House,4.9,4036,12140,Ready to move,Candolim,Goa
3 BHK,Apartment,2.5,3616,6913,Ready to move,Candolim,Goa
1 BHK,Apartment,0.64,882,7256,Ready to move,Saligao,Goa
1 BHK,Apartment,1.2,753,15936,Ready to move,Candolim,Goa
2 BHK,Apartment,1.5,1237,12126,Ready to move,Povorim,Goa
3 BHK,Apartment,1.62,2163,7489,Ready to move,Povorim,Goa
1 BHK,Apartment,0.75,645,11627,Ready to move,Calangute,Goa
2 BHK,Apartment,1.0,1367,7315,Ready to move,Socorro,Goa
2 BHK,Apartment,0.92,839,10965,Ready to move,Assagao,Goa
3 BHK,Apartment,1.08,1292,8359,Under Construction,Candolim,Goa
1 BHK,Apartment,0.785,768,10221,Under Construction,Calangute,Goa
2 BHK,Apartment,0.585,960,6093,Under Construction,Salcete,Goa
4 BHK,Villa,5.5,3370,16320,Under Construction,Pernem,Goa
3 BHK,Villa,0.9,1500,6000,Under Construction,Salcete,Goa
3 BHK,Villa,1.62,1750,9257,Ready to move,Salcete,Goa
6 BHK,Villa,10.0,6865,14566,Under Construction,Siolim,Goa
2 BHK,Apartment,1.28,1213,10552,Under Construction,Sangolda,Goa
1 BHK,Apartment,0.807,742,10875,Under Construction,Sangolda,Goa
3 BHK,Apartment,1.81,1564,11572,Under Construction,Sangolda,Goa
3 BHK,Villa,6.7,4100,16341,Ready to move,Baga,Goa
2 BHK,Apartment,2.5,1800,13888,Ready to move,Bambolim,Goa
3 BHK,Apartment,2.3,2070,11111,Under Construction,Anjuna,Goa
2 BHK,Apartment,1.56,1460,10684,Under Construction,Anjuna,Goa
3 BHK,Apartment,2.3,2227,10327,Under Construction,Anjuna,Goa
4 BHK,Villa,1.5,2200,6818,Ready to move,Salcete,Goa
3 BHK,Villa,5.5,2950,18644,Under Construction,Anjuna,Goa
5 BHK,Villa,6.5,6000,10833,Under Construction,Calangute,Goa
4 BHK,Villa,1.75,1750,10000,Under Construction,Salcete,Goa
4 BHK,Villa,7.999,7300,10958,Ready to move,Calangute,Goa
1 BHK,Apartment,0.66,646,10216,Under Construction,Candolim,Goa
3 BHK,Apartment,1.32,1200,11000,Under Construction,Candolim,Goa
2 BHK,Apartment,0.9,1379,6526,Ready to move,Calangute,Goa
2 BHK,Apartment,0.85,690,12318,Ready to move,Dabolim,Goa
3 BHK,Apartment,2.347,1546,15181,Under Construction,Taleigao,Goa
3 BHK,Apartment,1.274,922,13813,Under Construction,Taleigao,Goa
4 BHK,Apartment,2.82,1912,14747,Under Construction,Taleigao,Goa
3 BHK,Apartment,1.793,1222,14673,Under Construction,Taleigao,Goa
3 BHK,Apartment,1.329,932,14263,Under Construction,Taleigao,Goa
3 BHK,Apartment,0.888,1027,8642,Under Construction,Dabolim,Goa
2 BHK,Apartment,0.441,514,8576,Under Construction,Dabolim,Goa
3 BHK,Apartment,0.844,976,8649,Under Construction,Dabolim,Goa
1 BHK,Apartment,0.331,351,9428,Under Construction,Dabolim,Goa
3 BHK,Apartment,0.841,972,8650,Under Construction,Dabolim,Goa
2 BHK,Apartment,1.29,1000,12900,Ready to move,Arpora,Goa
4 BHK,Villa,9.95,5000,19900,Under Construction,Chapora,Goa
4 BHK,Apartment,4.0,2195,18223,Ready to move,Anjuna,Goa
4 BHK,Villa,9.95,5000,19900,Under Construction,Anjuna,Goa
4 BHK,Villa,11.95,5200,22980,Under Construction,Chapora,Goa
6 BHK,Independent House,8.0,4894,16346,Under Construction,Dona Paula,Goa
3 BHK,Villa,1.9,2767,6866,Ready to move,Socorro,Goa
5 BHK,Villa,3.4,5200,6538,Ready to move,Socorro,Goa
4 BHK,Apartment,1.13,2304,4904,Ready to move,Socorro,Goa
4 BHK,Villa,2.0,2713,7371,Ready to move,Povorim,Goa
2 BHK,Floor,1.25,2186,5718,Ready to move,Socorro,Goa
5 BHK,Villa,3.4,5000,6800,Ready to move,Socorro,Goa
3 BHK,Villa,1.9,2767,6866,Ready to move,Socorro,Goa
3 BHK,Villa,1.55,1743,8892,Under Construction,Povorim,Goa
2 BHK,Apartment,0.5,1000,5000,Ready to move,Povorim,Goa
3 BHK,Villa,4.1,1875,21866,Ready to move,Siolim,Goa
2 BHK,Apartment,1.1,1184,9290,Under Construction,Socorro,Goa
2 BHK,Apartment,1.8,1614,11152,Under Construction,Arpora,Goa
2 BHK,Apartment,0.65,1049,6196,Ready to move,Mapusa,Goa
3 BHK,Villa,6.0,2519,23818,Ready to move,Assagao,Goa
3 BHK,Villa,1.9,1807,10514,Ready to move,Salcete,Goa
2 BHK,Apartment,0.84,1086,7734,Ready to move,Salcete,Goa
2 BHK,Apartment,0.75,1054,7115,Ready to move,Salcete,Goa
1 BHK,Apartment,0.952,633,15039,Under Construction,Morjim,Goa
4 BHK,Villa,7.0,3229,21678,Ready to move,Assagao,Goa
2 BHK,Apartment,1.78,1050,16952,Ready to move,Siolim,Goa
3 BHK,Apartment,2.0,2368,8445,Ready to move,Povorim,Goa
3 BHK,Apartment,0.79,1474,5359,Ready to move,Margao,Goa
2 BHK,Apartment,1.8,1614,11152,Under Construction,Arpora,Goa
2 BHK,Apartment,0.65,1049,6196,Ready to move,Mapusa,Goa
1 BHK,Apartment,0.952,633,15039,Under Construction,Morjim,Goa
4 BHK,Villa,7.0,3229,21678,Ready to move,Assagao,Goa
2 BHK,Apartment,1.78,1050,16952,Ready to move,Siolim,Goa
3 BHK,Apartment,2.0,2368,8445,Ready to move,Povorim,Goa
4 BHK,Villa,5.5,3422,16072,Under Construction,Candolim,Goa
4 BHK,Independent House,12.0,4090,29339,Ready to move,Mapusa,Goa
5 BHK,Independent House,1.3,3228,4027,Ready to move,Salcete,Goa
3 BHK,Villa,3.5,3005,11647,Ready to move,Salcete,Goa
4 BHK,Villa,2.6,2600,10000,Ready to move,Salcete,Goa
3 BHK,Villa,1.15,1570,7324,Ready to move,Salcete,Goa
2 BHK,Apartment,0.95,1527,6221,Ready to move,Dabolim,Goa
3 BHK,Apartment,1.3,1585,8201,Ready to move,Povorim,Goa
3 BHK,Apartment,1.01,1404,7193,Under Construction,Sancoale,Goa
4 BHK,Independent House,3.5,3316,10554,Ready to move,Siolim,Goa
2 BHK,Apartment,0.96,1119,8579,Under Construction,Panjim,Goa
2 BHK,Villa,2.5,1592,15703,Ready to move,Chapora,Goa
2 BHK,Apartment,0.52,1054,4933,Ready to move,Salcete,Goa
3 BHK,Villa,1.6,1614,9913,Ready to move,Salcete,Goa
5 BHK,Independent House,4.8,4111,11675,Ready to move,Povorim,Goa
4 BHK,Villa,5.5,3767,14600,Under Construction,Penha de Franca,Goa
2 BHK,Apartment,0.62,1000,6200,Ready to move,Mapusa,Goa
2 BHK,Apartment,0.699,1002,6980,Under Construction,Santa Cruz,Goa
2 BHK,Apartment,0.64,925,6918,Under Construction,Santa Cruz,Goa
3 BHK,Villa,2.9,2131,13608,Ready to move,Assagao,Goa
3 BHK,Apartment,1.86,1980,9393,Under Construction,Panjim,Goa
2 BHK,Apartment,0.72,1065,6760,Under Construction,Santa Cruz,Goa
2 BHK,Apartment,0.967,1200,8061,Under Construction,Taleigao,Goa
3 BHK,Apartment,1.42,1506,9428,Under Construction,Socorro,Goa
1 BHK,Apartment,1.05,752,13962,Under Construction,Calangute,Goa
2 BHK,Apartment,1.5,1122,13368,Ready to move,Dona Paula,Goa
2 BHK,Apartment,0.55,1000,5500,Ready to move,Socorro,Goa
4 BHK,Apartment,10.0,5661,17664,Under Construction,Dona Paula,Goa
2 BHK,Apartment,0.817,1001,8166,Under Construction,Taleigao,Goa
4 BHK,Apartment,4.37,3186,13716,Under Construction,Taleigao,Goa
2 BHK,Apartment,0.63,1000,6300,Ready to move,Mapusa,Goa
2 BHK,Apartment,1.019,1393,7312,Under Construction,Taleigao,Goa
3 BHK,Apartment,1.298,1539,8431,Under Construction,Taleigao,Goa
2 BHK,Apartment,0.95,1527,6221,Ready to move,Dabolim,Goa
3 BHK,Apartment,1.3,1585,8201,Ready to move,Povorim,Goa
2 BHK,Villa,2.5,1592,15703,Ready to move,Chapora,Goa
2 BHK,Apartment,0.52,1054,4933,Ready to move,Salcete,Goa
3 BHK,Villa,1.6,1614,9913,Ready to move,Salcete,Goa
3 BHK,Villa,6.0,2519,23818,Ready to move,Assagao,Goa
2 BHK,Apartment,0.52,1054,4933,Ready to move,Margao,Goa
2 BHK,Floor,0.65,1154,5632,Ready to move,Salcete,Goa
2 BHK,Apartment,0.573,1063,5390,Under Construction,Dabolim,Goa
2 BHK,Apartment,0.555,1085,5117,Under Construction,Dabolim,Goa
2 BHK,Apartment,0.598,1111,5387,Under Construction,Dabolim,Goa
3 BHK,Apartment,1.9,2152,8828,Ready to move,Povorim,Goa
2 BHK,Apartment,0.609,1130,5389,Under Construction,Dabolim,Goa
2 BHK,Apartment,0.555,1030,5390,Under Construction,Dabolim,Goa
3 BHK,Apartment,1.5,1484,10107,Ready to move,Dona Paula,Goa
2 BHK,Apartment,0.7,1076,6505,Ready to move,Dona Paula,Goa
3 BHK,Apartment,1.1,1248,8814,Ready to move,Calangute,Goa
3 BHK,Villa,3.0,1991,15067,Ready to move,Assagao,Goa
2 BHK,Apartment,2.0,1678,11918,Ready to move,Dona Paula,Goa
3 BHK,Villa,2.25,2238,10053,Ready to move,Dona Paula,Goa
2 BHK,Villa,2.1,2238,9383,Ready to move,Dona Paula,Goa
3 BHK,Apartment,1.2,1689,7104,Ready to move,Chimbel,Goa
2 BHK,Apartment,1.4,1345,10408,Ready to move,Dona Paula,Goa
2 BHK,Apartment,0.609,1130,5389,Under Construction,Dabolim,Goa
2 BHK,Apartment,0.555,1030,5390,Under Construction,Dabolim,Goa
3 BHK,Apartment,1.5,1484,10107,Ready to move,Dona Paula,Goa
2 BHK,Apartment,0.7,1076,6505,Ready to move,Dona Paula,Goa
3 BHK,Apartment,1.1,1248,8814,Ready to move,Calangute,Goa
3 BHK,Villa,3.0,1991,15067,Ready to move,Assagao,Goa
2 BHK,Apartment,2.0,1678,11918,Ready to move,Dona Paula,Goa
3 BHK,Villa,2.25,2238,10053,Ready to move,Dona Paula,Goa
3 BHK,Villa,2.3,2797,8223,Ready to move,Majorda,Goa
1 BHK,Apartment,0.8,840,9523,Ready to move,Dabolim,Goa
3 BHK,Apartment,0.802,1139,7044,Under Construction,Vasco Da Gama,Goa
2 BHK,Apartment,0.46,514,8947,Under Construction,Dabolim,Goa
3 BHK,Apartment,0.6,1750,3428,Ready to move,Sancoale,Goa
Residential Plot,Residential,0.75,3070,2442,Resale,Mapusa,Goa
3 BHK,Villa,2.7,1780,15168,Ready to move,Arpora,Goa
4 BHK,Villa,6.0,4620,12987,Ready to move,Siolim,Goa
4 BHK,Villa,5.5,4000,13750,Under Construction,Sateri Nagar Colony,Goa
4 BHK,Villa,6.0,4620,12987,Ready to move,Siolim,Goa
Residential Plot,Residential,15.0,7560,19841,Resale,Dabolim,Goa
2 BHK,Apartment,0.6,861,6968,Ready to move,Calangute,Goa
2 BHK,Apartment,0.52,1054,4933,Ready to move,Salcete,Goa
1 BHK,Apartment,0.62,795,7798,Ready to move,Arpora,Goa
2 BHK,Apartment,0.65,1151,5647,Ready to move,Socorro,Goa
3 BHK,Villa,1.0,1485,6734,Ready to move,Salcete,Goa
2 BHK,Apartment,0.6,1140,5263,Ready to move,Salcete,Goa
3 BHK,Floor,2.3,2238,10277,Ready to move,Calangute,Goa
2 BHK,Apartment,0.8,1259,6354,Ready to move,Socorro,Goa
2 BHK,Villa,0.98,1291,7591,Ready to move,Calangute,Goa
2 BHK,Apartment,0.55,1022,5381,Ready to move,Socorro,Goa
3 BHK,Apartment,0.67,1464,4576,Ready to move,Salcete,Goa
2 BHK,Apartment,0.4,796,5025,Ready to move,Salcete,Goa
1 BHK,Apartment,0.4,581,6884,Ready to move,Calangute,Goa
2 BHK,Apartment,0.75,893,8398,Ready to move,Calangute,Goa
2 BHK,Villa,2.0,1237,16168,Ready to move,Calangute,Goa
1 BHK,Apartment,0.5,731,6839,Ready to move,Sangolda,Goa
2 BHK,Apartment,0.39,839,4648,Ready to move,Salcete,Goa
1 BHK,Apartment,0.4,452,8849,Ready to move,Calangute,Goa
